filename_key,GSE,tissue,species,category,description,modality,cell_count,drop_status
GSE139555_new,GSE139555,tcell,human,geo,GEO cellranger (7462 cells),scrna,7462,kept
GSE149655_new,GSE149655,airway,human,geo,GEO cellranger (4397 cells),scrna,4397,kept
GSE154778_new,GSE154778,pancreas,human,geo,GEO cellranger (585 cells),scrna,585,kept
GSE181388_new,GSE181388,muscle,human,geo,GEO cellranger (22157 cells),scrna,22157,kept
GSE188676_new,GSE188676,retina,mouse,geo,GEO cellranger (22360 cells),scrna,22360,kept
GSE125449_new,GSE125449,liver,human,geo,GEO cellranger (5115 cells),scrna,5115,kept
GSE128033_new,GSE128033,immune,human,geo,GEO cellranger (737280 cells),scrna,737280,kept
GSE138794_new,GSE138794,brain,human,geo,GEO cellranger (2888 cells),scrna,2888,kept
GSE159519_new,GSE159519,lung,human,geo,GEO cellranger (13229 cells),scrna,13229,kept
GSE161277_new,GSE161277,kidney,human,geo,GEO cellranger (2947 cells),scrna,2947,kept
GSE173193_new,GSE173193,adipose,human,geo,GEO cellranger (7829 cells),scrna,7829,kept
GSE190604_new,GSE190604,ovary,human,geo,GEO cellranger (103805 cells),scrna,103805,kept
GSE120926_new,GSE120926,unknown,human,geo,GEO cellranger (102525 cells),scrna,102525,kept
GSE189357_new,GSE189357,colon,human,geo,GEO cellranger (15216 cells),scrna,15216,kept
GSE208074_new,GSE208074,unknown,human,geo,GEO cellranger (8048 cells),scrna,8048,kept
GSE220297_new,GSE220297,unknown,pig,geo,GEO cellranger (9721 cells),scrna,9721,kept
GSE220840_new,GSE220840,unknown,human,geo,GEO cellranger (4913 cells),scrna,4913,kept
GSE260778_new,GSE260778,unknown,human,geo,GEO cellranger (3842 cells),scrna,3842,kept
GSE264586_new,GSE264586,unknown,human,geo,GEO cellranger (13254 cells),scrna,13254,kept
GSE270891_new,GSE270891,unknown,human,geo,GEO cellranger (8920 cells),scrna,8920,kept
GSE273423_new,GSE273423,unknown,human,geo,GEO cellranger (7226 cells),scrna,7226,kept
GSE274905_new,GSE274905,unknown,human,geo,GEO cellranger (30634 cells),scrna,30634,kept
GSE279264_new,GSE279264,unknown,human,geo,GEO cellranger (12071 cells),scrna,12071,kept
GSE279958_new,GSE279958,unknown,human,geo,GEO cellranger (1935344 cells),scrna,1935344,dropped_atlas_scale
GSE280258_new,GSE280258,unknown,human,geo,GEO cellranger (11104 cells),scrna,11104,kept
GSE280767_new,GSE280767,unknown,human,geo,GEO cellranger (11645 cells),scrna,11645,kept
GSE283554_new,GSE283554,unknown,human,geo,GEO cellranger (6119 cells),scrna,6119,kept
GSE193807_new,GSE193807,unknown,human,geo,GEO cellranger (8647 cells),scrna,8647,kept
GSE216673_new,GSE216673,unknown,human,geo,GEO cellranger (13867 cells),scrna,13867,kept
GSE232938_new,GSE232938,unknown,human,geo,GEO cellranger (13070 cells),scrna,13070,kept
GSE253936_new,GSE253936,unknown,human,geo,GEO cellranger (3267 cells),scrna,3267,kept
GSE263194_new,GSE263194,unknown,human,geo,GEO cellranger (1786407 cells),scrna,1786407,dropped_atlas_scale
GSE272457_new,GSE272457,unknown,human,geo,GEO cellranger (8265 cells),scrna,8265,kept
