filename_key,GSE,tissue,species,category,description,modality,cell_count,drop_status
GSE198730_naive_ESC_scATAC_rep1_filtered_peak_bc_matrix,GSE198730,stem_cell,mouse,Unknown,GSE198730_naive_ESC_scATAC_rep1_filtered_peak_bc_matrix,scatac,5000,kept
GSE206767_filtered_peak_bc_matrix,GSE206767,other,human,Unknown,GSE206767_filtered_peak_bc_matrix,scatac,15259,kept
GSM5124061_PDX_390_vehicle_peak_bc_matrix,GSM5124061,PDX,human,Unknown,GSM5124061_PDX_390_vehicle_peak_bc_matrix,scatac,3350,kept
GSM5342787_scA_filtered_peak_bc_matrix,GSM5342787,other,human,Unknown,GSM5342787_scA_filtered_peak_bc_matrix,scatac,1202,kept
GSM5342788_scB_filtered_peak_bc_matrix,GSM5342788,other,human,Unknown,GSM5342788_scB_filtered_peak_bc_matrix,scatac,2633,kept
GSM5342789_scC_filtered_peak_bc_matrix,GSM5342789,other,human,Unknown,GSM5342789_scC_filtered_peak_bc_matrix,scatac,908,dropped_smallest
GSM5342790_scD_filtered_peak_bc_matrix,GSM5342790,other,human,Unknown,GSM5342790_scD_filtered_peak_bc_matrix,scatac,922,dropped_smallest
GSM5402770_P115L1mutP_filtered_peak_bc_matrix,GSM5402770,other,mouse,Unknown,GSM5402770_P115L1mutP_filtered_peak_bc_matrix,scatac,9495,kept
GSM5402771_NF_2-004_filtered_peak_bc_matrix,GSM5402771,other,human,Unknown,GSM5402771_NF_2-004_filtered_peak_bc_matrix,scatac,4745,kept
GSM5402772_MPNST_2-084_filtered_peak_bc_matrix,GSM5402772,other,human,Unknown,GSM5402772_MPNST_2-084_filtered_peak_bc_matrix,scatac,1658,kept
GSM5766892_d0-ctrl_filtered_peak_bc_matrix,GSM5766892,other,human,Unknown,GSM5766892_d0-ctrl_filtered_peak_bc_matrix,scatac,4901,kept
GSM5766893_d20-ctrl_filtered_peak_bc_matrix,GSM5766893,other,human,Unknown,GSM5766893_d20-ctrl_filtered_peak_bc_matrix,scatac,2847,kept
GSM5769453_WT_S_filtered_peak_bc_matrix,GSM5769453,other,zebrafish,Unknown,GSM5769453_WT_S_filtered_peak_bc_matrix,scatac,5264,kept
GSM5769454_WT_U_filtered_peak_bc_matrix,GSM5769454,other,zebrafish,Unknown,GSM5769454_WT_U_filtered_peak_bc_matrix,scatac,1535,kept
GSM5769456_DTR_S_filtered_peak_bc_matrix,GSM5769456,other,zebrafish,Unknown,GSM5769456_DTR_S_filtered_peak_bc_matrix,scatac,4320,kept
GSM5769460_Day5_DTR_S_filtered_peak_bc_matrix,GSM5769460,other,zebrafish,Unknown,GSM5769460_Day5_DTR_S_filtered_peak_bc_matrix,scatac,15982,kept
GSM5769461_Day5_DTR_U_filtered_peak_bc_matrix,GSM5769461,other,zebrafish,Unknown,GSM5769461_Day5_DTR_U_filtered_peak_bc_matrix,scatac,5409,kept
GSM5769462_Day7_DTR_S_filtered_peak_bc_matrix,GSM5769462,other,zebrafish,Unknown,GSM5769462_Day7_DTR_S_filtered_peak_bc_matrix,scatac,3267,kept
GSM5769463_Day7_DTR_U_filtered_peak_bc_matrix,GSM5769463,other,zebrafish,Unknown,GSM5769463_Day7_DTR_U_filtered_peak_bc_matrix,scatac,3187,kept
GSM5975165_Arm_d60_filtered_peak_bc_matrix,GSM5975165,other,mouse,Unknown,GSM5975165_Arm_d60_filtered_peak_bc_matrix,scatac,3805,kept
GSM5975166_Arm_d200_filtered_peak_bc_matrix,GSM5975166,other,mouse,Unknown,GSM5975166_Arm_d200_filtered_peak_bc_matrix,scatac,4007,kept
GSM6044072_1P_human_filtered_peak_bc_matrix,GSM6044072,other,human,Unknown,GSM6044072_1P_human_filtered_peak_bc_matrix,scatac,2775,kept
GSM6044073_2P_human_filtered_peak_bc_matrix,GSM6044073,other,human,Unknown,GSM6044073_2P_human_filtered_peak_bc_matrix,scatac,3268,kept
GSM6044074_4P_human_filtered_peak_bc_matrix,GSM6044074,other,human,Unknown,GSM6044074_4P_human_filtered_peak_bc_matrix,scatac,1178,kept
GSM6044075_1LM_human_filtered_peak_bc_matrix,GSM6044075,other,human,Unknown,GSM6044075_1LM_human_filtered_peak_bc_matrix,scatac,6617,kept
GSM6044076_2LM_human_filtered_peak_bc_matrix,GSM6044076,other,human,Unknown,GSM6044076_2LM_human_filtered_peak_bc_matrix,scatac,3329,kept
GSM6044077_4LM_human_filtered_peak_bc_matrix,GSM6044077,other,human,Unknown,GSM6044077_4LM_human_filtered_peak_bc_matrix,scatac,5280,kept
GSM6052781_E13,GSM6052781,other,mouse,Unknown,GSM6052781_E13,scatac,8016,kept
GSM6052782_E16,GSM6052782,other,mouse,Unknown,GSM6052782_E16,scatac,7714,kept
GSM6052783_P0_filtered_peak_bc_matrix,GSM6052783,other,mouse,Unknown,GSM6052783_P0_filtered_peak_bc_matrix,scatac,7896,kept
GSM6214533_1_CIEL_filtered_peak_bc_matrix,GSM6214533,other,mouse,Unknown,GSM6214533_1_CIEL_filtered_peak_bc_matrix,scatac,1459,kept
GSM6214534_2_CLPL_filtered_peak_bc_matrix,GSM6214534,other,mouse,Unknown,GSM6214534_2_CLPL_filtered_peak_bc_matrix,scatac,1869,kept
GSM6214535_4_SI_IEL_filtered_peak_bc_matrix,GSM6214535,other,mouse,Unknown,GSM6214535_4_SI_IEL_filtered_peak_bc_matrix,scatac,8253,kept
GSM6214536_6_SI_LPL_filtered_peak_bc_matrix,GSM6214536,other,mouse,Unknown,GSM6214536_6_SI_LPL_filtered_peak_bc_matrix,scatac,1458,kept
GSM6449878_NSCLC8_TIL_eTreg_scATAC_filtered_peak_bc_matrix,GSM6449878,other,human,Unknown,GSM6449878_NSCLC8_TIL_eTreg_scATAC_filtered_peak_bc_matrix,scatac,3179,kept
GSM6449879_NSCLC14_NormalLung_TregandCD8posT_scATAC_filtered_peak_bc_matrix,GSM6449879,lung,human,Unknown,GSM6449879_NSCLC14_NormalLung_TregandCD8posT_scATAC_filtered_peak_bc_matrix,scatac,2513,kept
GSM6449880_HD4_PBMC_eTreg_scATAC_filtered_peak_bc_matrix,GSM6449880,PBMC,human,Unknown,GSM6449880_HD4_PBMC_eTreg_scATAC_filtered_peak_bc_matrix,scatac,3303,kept
GSM6449881_HD4_CD4CD25posT_scATAC_filtered_peak_bc_matrix,GSM6449881,other,human,Unknown,GSM6449881_HD4_CD4CD25posT_scATAC_filtered_peak_bc_matrix,scatac,3473,kept
GSM6449882_HD4_PBMC_nTreg_scATAC_filtered_peak_bc_matrix,GSM6449882,PBMC,human,Unknown,GSM6449882_HD4_PBMC_nTreg_scATAC_filtered_peak_bc_matrix,scatac,2849,kept
GSM6449883_HD5_PBMC_nTreg_scATAC_filtered_peak_bc_matrix,GSM6449883,PBMC,human,Unknown,GSM6449883_HD5_PBMC_nTreg_scATAC_filtered_peak_bc_matrix,scatac,1166,kept
GSM6449884_HD6_PBMC_eTreg_filtered_peak_bc_matrix,GSM6449884,PBMC,human,Unknown,GSM6449884_HD6_PBMC_eTreg_filtered_peak_bc_matrix,scatac,687,dropped_smallest
GSM6449885_HD6_PBMC_CD4CD25posT_scATAC_filtered_peak_bc_matrix,GSM6449885,PBMC,human,Unknown,GSM6449885_HD6_PBMC_CD4CD25posT_scATAC_filtered_peak_bc_matrix,scatac,663,dropped_smallest
GSM6638254_filtered_peak_bc_matrix,GSM6638254,other,human,Unknown,GSM6638254_filtered_peak_bc_matrix,scatac,7990,kept
GSM6783751_d20-p100_filtered_peak_bc_matrix,GSM6783751,other,human,Unknown,GSM6783751_d20-p100_filtered_peak_bc_matrix,scatac,3084,kept
GSM6783752_d20-p200_filtered_peak_bc_matrix,GSM6783752,other,human,Unknown,GSM6783752_d20-p200_filtered_peak_bc_matrix,scatac,3722,kept
GSM7056609_HP_20210331_MONOS_filtered_peak_bc_matrix,GSM7056609,other,mouse,Unknown,GSM7056609_HP_20210331_MONOS_filtered_peak_bc_matrix,scatac,6654,kept
GSM7062446_Naive_filtered_peak_bc_matrix,GSM7062446,other,mouse,Unknown,GSM7062446_Naive_filtered_peak_bc_matrix,scatac,5171,kept
GSM7062447_D2_filtered_peak_bc_matrix,GSM7062447,other,mouse,Unknown,GSM7062447_D2_filtered_peak_bc_matrix,scatac,5764,kept
GSM7062448_D8-1_filtered_peak_bc_matrix,GSM7062448,other,mouse,Unknown,GSM7062448_D8-1_filtered_peak_bc_matrix,scatac,2510,kept
GSM7062449_D8-2_filtered_peak_bc_matrix,GSM7062449,other,mouse,Unknown,GSM7062449_D8-2_filtered_peak_bc_matrix,scatac,4379,kept
GSM7062450_D180_filtered_peak_bc_matrix,GSM7062450,other,mouse,Unknown,GSM7062450_D180_filtered_peak_bc_matrix,scatac,3693,kept
GSM7064214_19_D003_filtered_peak_bc_matrix,GSM7064214,other,human,Unknown,GSM7064214_19_D003_filtered_peak_bc_matrix,scatac,4112,kept
GSM7064215_19_D005_filtered_peak_bc_matrix,GSM7064215,other,human,Unknown,GSM7064215_19_D005_filtered_peak_bc_matrix,scatac,10545,kept
GSM7064216_19_D006_filtered_peak_bc_matrix,GSM7064216,other,human,Unknown,GSM7064216_19_D006_filtered_peak_bc_matrix,scatac,8905,kept
GSM7064217_19_D007_filtered_peak_bc_matrix,GSM7064217,other,human,Unknown,GSM7064217_19_D007_filtered_peak_bc_matrix,scatac,7102,kept
GSM7308367_Exp157DukeaBMTB_filtered_peak_bc_matrix,GSM7308367,other,human,Unknown,GSM7308367_Exp157DukeaBMTB_filtered_peak_bc_matrix,scatac,12773,kept
GSM7308369_Exp157DukeaBMTC_filtered_peak_bc_matrix,GSM7308369,other,human,Unknown,GSM7308369_Exp157DukeaBMTC_filtered_peak_bc_matrix,scatac,9302,kept
GSM7734290_Naive_filtered_peak_bc_matrix,GSM7734290,other,mouse,Unknown,GSM7734290_Naive_filtered_peak_bc_matrix,scatac,12883,kept
GSM7734291_D2_filtered_peak_bc_matrix,GSM7734291,other,mouse,Unknown,GSM7734291_D2_filtered_peak_bc_matrix,scatac,15709,kept
GSM7734292_D8_filtered_peak_bc_matrix,GSM7734292,other,mouse,Unknown,GSM7734292_D8_filtered_peak_bc_matrix,scatac,13313,kept
GSM7734711_MGH227_filtered_peak_bc_matrix,GSM7734711,other,human,Unknown,GSM7734711_MGH227_filtered_peak_bc_matrix,scatac,1992,kept
GSM7734712_MGH230_filtered_peak_bc_matrix,GSM7734712,other,human,Unknown,GSM7734712_MGH230_filtered_peak_bc_matrix,scatac,7028,kept
