dataset_id,gse,modality,notebook_source,path_reference,priority,notes
GSM8685155_TKX_filtered_feature_bc_matrix,GSE284492,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE284492/GSM8685155_TKX_filtered_feature_bc_matrix.h5,1,Brain; Mouse; Hypothalamic neuron development (Kim & Blackshaw)
GSM7062449_D8-2_filtered_peak_bc_matrix,GSE226067,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE226067/GSM7062449_D8-2_filtered_peak_bc_matrix.h5,1,Blood; Mouse; Antigen-specific CD8 T cells LCMV (Liu & Dong)
GSM5975166_Arm_d200_filtered_peak_bc_matrix,GSE199556,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE199556/GSM5975166_Arm_d200_filtered_peak_bc_matrix.h5,1,Blood; Mouse; CD8 T cell effector/memory/exhaustion (Giles & Wherry)
GSM8852349_MH_13_084_D13_filtered_peak_bc_matrix,GSE292194,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE292194/GSM8852349_MH_13_084_D13_filtered_peak_bc_matrix.h5,2,Prostate; Human; Lethal prostate cancer heterogeneity (Roudier et al.)
GSE198730_aPSM_scATAC_rep1_filtered_peak_bc_matrix,GSE198730,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE198730/GSE198730_aPSM_scATAC_rep1_filtered_peak_bc_matrix.h5,2,Stem cell; Mouse; Mesoderm-induced ESC differentiation (Khateb et al.)
GSM5769463_Day7_DTR_U_filtered_peak_bc_matrix,GSE192947,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE192947/GSM5769463_Day7_DTR_U_filtered_peak_bc_matrix.h5,1,Inner ear; Mouse; Hearing regeneration zebrafish/mouse (Jimenez et al.)
GSM7062450_D180_filtered_peak_bc_matrix,GSE226067,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE226067/GSM7062450_D180_filtered_peak_bc_matrix.h5,1,Blood; Mouse; Antigen-specific CD8 T cells LCMV (Liu & Dong)
GSM6214535_4_SI_IEL_filtered_peak_bc_matrix,GSE205549,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE205549/GSM6214535_4_SI_IEL_filtered_peak_bc_matrix.h5,1,Intestine; Mouse; Intestinal tissue-resident CD8 T cells (Lin et al.)
GSM7056609_HP_20210331_MONOS_filtered_peak_bc_matrix,GSE225801,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE225801/GSM7056609_HP_20210331_MONOS_filtered_peak_bc_matrix.h5,1,Joint; Mouse; Synovial tissue-resident monocytes (Winter & Perlman)
GSM8248673_374_AS01_8wk_filtered_peak_bc_matrix,GSE266511,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE266511/GSM8248673_374_AS01_8wk_filtered_peak_bc_matrix.h5,1,Blood; Human; BCG vaccine immune response
GSM8397466_WT1_filtered_peak_bc_matrix,GSE272265,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE272265/GSM8397466_WT1_filtered_peak_bc_matrix.h5,1,Blood; Mouse; DNMT3A clonal hematopoiesis sex differences (Stomper et al.)
GSM7734715_MGH234_filtered_peak_bc_matrix,GSE241745,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE241745/GSM7734715_MGH234_filtered_peak_bc_matrix.h5,2,Brain; Human; IDH mutant gliomas chromatin (Wu et al.)
GSM6638254_filtered_peak_bc_matrix,GSE215758,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE215758/GSM6638254_filtered_peak_bc_matrix.h5,2,Bone; Human; Osteosarcoma metastasis chromatin (Peter & Dean)
GSM6449880_HD4_PBMC_eTreg_scATAC_filtered_peak_bc_matrix,GSE211087,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE211087/GSM6449880_HD4_PBMC_eTreg_scATAC_filtered_peak_bc_matrix.h5,1,Blood; Human; Regulatory T cell differentiation in tumors (Itahashi et al.)
GSM8397467_WT2_filtered_peak_bc_matrix,GSE272265,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE272265/GSM8397467_WT2_filtered_peak_bc_matrix.h5,1,Blood; Mouse; DNMT3A clonal hematopoiesis sex differences (Stomper et al.)
GSM8685177_TKC7_filtered_feature_bc_matrix,GSE284492,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE284492/GSM8685177_TKC7_filtered_feature_bc_matrix.h5,1,Brain; Mouse; Hypothalamic neuron development (Kim & Blackshaw)
GSM5124060_PDX_360_Infigratinib_peak_bc_matrix,GSE168026,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE168026/GSM5124060_PDX_360_Infigratinib_peak_bc_matrix.h5,2,Breast; Human; FGFR inhibitor resistance breast cancer (Qiu et al.)
GSE174367_snATAC-seq_filtered_peak_bc_matrix,GSE174367,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE174367/GSE174367_snATAC-seq_filtered_peak_bc_matrix.h5,1,Brain; Human; Alzheimer's disease snATAC (Morabito et al.)
GSM5402772_MPNST_2-084_filtered_peak_bc_matrix,GSE178988,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE178988/GSM5402772_MPNST_2-084_filtered_peak_bc_matrix.h5,2,Nerve; Human; MPNST Schwann cell transformation (Wu & Lu)
GSM5766893_d20-ctrl_filtered_peak_bc_matrix,GSE192856,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE192856/GSM5766893_d20-ctrl_filtered_peak_bc_matrix.h5,2,Stem cell; Human; hESC neuronal differentiation (Spildrejorde et al.)
GSE198730_Instructed_ESC_scATAC_rep1_filtered_peak_bc_matrix,GSE198730,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE198730/GSE198730_Instructed_ESC_scATAC_rep1_filtered_peak_bc_matrix.h5,2,Stem cell; Mouse; Mesoderm-induced ESC differentiation (Khateb et al.)
GSM6044072_1P_human_filtered_peak_bc_matrix,GSE200813,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE200813/GSM6044072_1P_human_filtered_peak_bc_matrix.h5,2,Liver; Human; PDX colorectal liver metastasis (Li et al.)
GSM6052781_E13.5_filtered_peak_bc_matrix,GSE201213,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE201213/GSM6052781_E13.5_filtered_peak_bc_matrix.h5,2,Skin; Mouse; Hair follicle morphogenesis (Li et al.)
GSM6214533_1_CIEL_filtered_peak_bc_matrix,GSE205549,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE205549/GSM6214533_1_CIEL_filtered_peak_bc_matrix.h5,1,Intestine; Mouse; Intestinal tissue-resident CD8 T cells (Lin et al.)
