dataset_id,gse,path_abs,tissue,organism,cell_count,n_genes,modality,provenance_dir,format,priority_guess
GSM5342789_scC_filtered_peak_bc_matrix,GSM5342789,/home/zeyufu/Downloads/ATAC_data/GSM5342789_scC_filtered_peak_bc_matrix.h5ad,skin,unknown,908,80890,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7884549_D009_13_lobe_atac_filtered_peak_bc_matrix,GSM7884549,/home/zeyufu/Downloads/ATAC_data/GSM7884549_D009_13_lobe_atac_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,9041,30556,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6214536_6_SI_LPL_filtered_peak_bc_matrix,GSM6214536,/home/zeyufu/Downloads/ATAC_data/GSM6214536_6_SI_LPL_filtered_peak_bc_matrix.h5ad,unknown,unknown,1458,87895,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6449878_NSCLC8_TIL_eTreg_scATAC_filtered_peak_bc_matrix,GSM6449878,/home/zeyufu/Downloads/ATAC_data/GSM6449878_NSCLC8_TIL_eTreg_scATAC_filtered_peak_bc_matrix.h5ad,immune,human,3179,80580,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM5769461_Day5_DTR_U_filtered_peak_bc_matrix,GSM5769461,/home/zeyufu/Downloads/ATAC_data/GSM5769461_Day5_DTR_U_filtered_peak_bc_matrix.h5ad,unknown,unknown,5409,97170,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7777061_2DG_filtered_peak_bc_matrix,GSM7777061,/home/zeyufu/Downloads/ATAC_data/GSM7777061_2DG_filtered_peak_bc_matrix.h5ad,unknown,unknown,4074,232261,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8248674_373_pos_BCG_8wk_filtered_peak_bc_matrix,GSM8248674,/home/zeyufu/Downloads/ATAC_data/GSM8248674_373_pos_BCG_8wk_filtered_peak_bc_matrix.h5ad,unknown,unknown,2764,84536,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8997246_Sample1_filtered_peak_bc_matrix,GSM8997246,/home/zeyufu/Downloads/ATAC_data/GSM8997246_Sample1_filtered_peak_bc_matrix.h5ad,unknown,unknown,9346,126915,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8900553_sample6_ATAC_filtered_peak_bc_matrix,GSM8900553,/home/zeyufu/Downloads/ATAC_data/GSM8900553_sample6_ATAC_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,14346,52691,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6044073_2P_human_filtered_peak_bc_matrix,GSM6044073,/home/zeyufu/Downloads/ATAC_data/GSM6044073_2P_human_filtered_peak_bc_matrix.h5ad,unknown,human,3268,106928,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6449884_HD6_PBMC_eTreg_filtered_peak_bc_matrix,GSM6449884,/home/zeyufu/Downloads/ATAC_data/GSM6449884_HD6_PBMC_eTreg_filtered_peak_bc_matrix.h5ad,bone_marrow_blood,human,687,74181,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8685152_TK64_filtered_feature_bc_matrix,GSM8685152,/home/zeyufu/Downloads/ATAC_data/GSM8685152_TK64_filtered_feature_bc_matrix.h5ad,unknown,unknown,27166,31053,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7062448_D8-1_filtered_peak_bc_matrix,GSM7062448,/home/zeyufu/Downloads/ATAC_data/GSM7062448_D8-1_filtered_peak_bc_matrix.h5ad,unknown,unknown,2510,90201,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7062446_Naive_filtered_peak_bc_matrix,GSM7062446,/home/zeyufu/Downloads/ATAC_data/GSM7062446_Naive_filtered_peak_bc_matrix.h5ad,unknown,unknown,5171,104628,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7734292_D8_filtered_peak_bc_matrix,GSM7734292,/home/zeyufu/Downloads/ATAC_data/GSM7734292_D8_filtered_peak_bc_matrix.h5ad,unknown,unknown,13313,83455,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6052781_E13,GSM6052781,/home/zeyufu/Downloads/ATAC_data/GSM6052781_E13.h5ad,unknown,unknown,8016,139352,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM5402771_NF_2-004_filtered_peak_bc_matrix,GSM5402771,/home/zeyufu/Downloads/ATAC_data/GSM5402771_NF_2-004_filtered_peak_bc_matrix.h5ad,unknown,unknown,4745,120855,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7884541_D027_13_lobe_atac_filtered_peak_bc_matrix,GSM7884541,/home/zeyufu/Downloads/ATAC_data/GSM7884541_D027_13_lobe_atac_filtered_peak_bc_matrix.h5ad,atac_generic,unknown,9868,89058,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM7734711_MGH227_filtered_peak_bc_matrix,GSM7734711,/home/zeyufu/Downloads/ATAC_data/GSM7734711_MGH227_filtered_peak_bc_matrix.h5ad,unknown,unknown,1992,128161,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM8008843_vcap16_filtered_peak_bc_matrix,GSM8008843,/home/zeyufu/Downloads/ATAC_data/GSM8008843_vcap16_filtered_peak_bc_matrix.h5ad,prostate,unknown,859,147509,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6044075_1LM_human_filtered_peak_bc_matrix,GSM6044075,/home/zeyufu/Downloads/ATAC_data/GSM6044075_1LM_human_filtered_peak_bc_matrix.h5ad,unknown,human,6617,105343,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
GSM6044076_2LM_human_filtered_peak_bc_matrix,GSM6044076,/home/zeyufu/Downloads/ATAC_data/GSM6044076_2LM_human_filtered_peak_bc_matrix.h5ad,unknown,human,3329,104688,scATAC,/home/zeyufu/Downloads/ATAC_data,h5ad,1
