filename_key,modality,GSE,species_corrected,tissue,cell_count,has_h5ad,in_reconciled,in_encoder_sweep
GSE260778_new,scrna,GSE260778,human,unknown,3842,True,False,True
GSE264586_new,scrna,GSE264586,human,unknown,13254,True,False,True
GSE270891_new,scrna,GSE270891,human,unknown,8920,True,False,True
GSE273423_new,scrna,GSE273423,human,unknown,7226,True,False,True
GSE274905_new,scrna,GSE274905,human,unknown,30634,True,False,True
GSE279264_new,scrna,GSE279264,human,unknown,12071,True,False,True
GSE280258_new,scrna,GSE280258,human,unknown,11104,True,False,True
GSE280767_new,scrna,GSE280767,human,unknown,11645,True,False,True
GSE283554_new,scrna,GSE283554,human,unknown,6119,True,False,True
GSE193807_new,scrna,GSE193807,human,unknown,8647,True,False,True
GSE216673_new,scrna,GSE216673,human,unknown,13867,True,False,True
GSE232938_new,scrna,GSE232938,human,unknown,13070,True,False,True
GSE253936_new,scrna,GSE253936,human,unknown,3267,True,False,True
GSE272457_new,scrna,GSE272457,human,unknown,8265,True,False,True
GSM8685152_TK64_filtered_feature_bc_matrix,scatac,GSM8685152,mouse,other,27166,True,True,False
GSM8685177_TKC7_filtered_feature_bc_matrix,scatac,GSM8685177,mouse,other,22409,True,True,False
GSM8900551_sample4_ATAC_filtered_peak_bc_matrix,scatac,GSM8900551,mouse,other,20020,True,True,False
GSM8900548_sample1_ATAC_filtered_peak_bc_matrix,scatac,GSM8900548,mouse,other,20005,True,True,False
GSM8397466_WT1_filtered_peak_bc_matrix,scatac,GSM8397466,mouse,other,18157,True,True,False
GSM8900549_sample2_ATAC_filtered_peak_bc_matrix,scatac,GSM8900549,mouse,other,16778,True,True,False
GSM8685155_TKX_filtered_feature_bc_matrix,scatac,GSM8685155,mouse,other,16236,True,True,False
GSM8852349_MH_13_084_D13_filtered_peak_bc_matrix,scatac,GSM8852349,human,other,16176,True,True,False
GSM7734291_D2_filtered_peak_bc_matrix,scatac,GSM7734291,mouse,other,15709,True,True,False
GSM8900550_sample3_ATAC_filtered_peak_bc_matrix,scatac,GSM8900550,mouse,other,15701,True,True,False
GSM8900553_sample6_ATAC_filtered_peak_bc_matrix,scatac,GSM8900553,mouse,other,14346,True,True,False
GSM7734292_D8_filtered_peak_bc_matrix,scatac,GSM7734292,mouse,other,13313,True,True,False
GSM7734290_Naive_filtered_peak_bc_matrix,scatac,GSM7734290,mouse,other,12883,True,True,False
GSM7308367_Exp157DukeaBMTB_filtered_peak_bc_matrix,scatac,GSM7308367,human,other,12773,True,True,False
GSM8546125_BLM_filtered_peak_bc_matrix,scatac,GSM8546125,mouse,other,10772,True,True,False
GSM7064215_19_D005_filtered_peak_bc_matrix,scatac,GSM7064215,human,other,10545,True,True,False
GSM7884541_D027_13_lobe_atac_filtered_peak_bc_matrix,scatac,GSM7884541,human,other,9868,True,True,False
GSM8852348_MH_13-084-D12_filtered_feature_bc_matrix,scatac,GSM8852348,human,other,9865,True,True,False
GSM7884543_D030_13_macular_atac_filtered_peak_bc_matrix,scatac,GSM7884543,human,other,9640,True,True,False
GSM8546124_Control_filtered_peak_bc_matrix,scatac,GSM8546124,mouse,other,9531,True,True,False
GSM5402770_P115L1mutP_filtered_peak_bc_matrix,scatac,GSM5402770,mouse,other,9495,True,True,False
GSM8997246_Sample1_filtered_peak_bc_matrix,scatac,GSM8997246,human,other,9346,True,True,False
GSM7308369_Exp157DukeaBMTC_filtered_peak_bc_matrix,scatac,GSM7308369,human,other,9302,True,True,False
GSM7884549_D009_13_lobe_atac_filtered_peak_bc_matrix,scatac,GSM7884549,human,other,9041,True,True,False
GSM7064216_19_D006_filtered_peak_bc_matrix,scatac,GSM7064216,human,other,8905,True,True,False
GSM8462143_AL05_ATAC_filtered_peak_bc_matrix,scatac,GSM8462143,human,other,8872,True,True,False
GSM8462145_AL10_ATAC_filtered_peak_bc_matrix,scatac,GSM8462145,human,other,8389,True,True,False
GSM6214535_4_SI_IEL_filtered_peak_bc_matrix,scatac,GSM6214535,mouse,other,8253,True,True,False
GSM6052781_E13,scatac,GSM6052781,mouse,other,8016,True,True,False
GSM6638254_filtered_peak_bc_matrix,scatac,GSM6638254,human,other,7990,True,True,False
GSM8729707_filtered_peak_bc_matrix_cellrangerGenome,scatac,GSM8729707,human,other,7934,True,True,False
GSM6052783_P0_filtered_peak_bc_matrix,scatac,GSM6052783,mouse,other,7896,True,True,False
GSM6052782_E16,scatac,GSM6052782,mouse,other,7714,True,True,False
GSM7884545_D021_13_lobe_atac_filtered_peak_bc_matrix,scatac,GSM7884545,human,other,7682,True,True,False
GSM7064217_19_D007_filtered_peak_bc_matrix,scatac,GSM7064217,human,other,7102,True,True,False
GSM7734712_MGH230_filtered_peak_bc_matrix,scatac,GSM7734712,human,other,7028,True,True,False
GSM7777063_AOA_filtered_peak_bc_matrix,scatac,GSM7777063,human,other,6819,True,True,False
GSM7056609_HP_20210331_MONOS_filtered_peak_bc_matrix,scatac,GSM7056609,mouse,other,6654,True,True,False
GSM6044075_1LM_human_filtered_peak_bc_matrix,scatac,GSM6044075,human,other,6617,True,True,False
GSM7777062_DON_filtered_peak_bc_matrix,scatac,GSM7777062,human,other,6433,True,True,False
GSM7884550_D005_13_lobe_atac_filtered_peak_bc_matrix,scatac,GSM7884550,human,other,6390,True,True,False
GSM7734715_MGH234_filtered_peak_bc_matrix,scatac,GSM7734715,human,other,6357,True,True,False
GSM7884540_D013_13_lobe_atac_filtered_peak_bc_matrix,scatac,GSM7884540,human,other,5876,True,True,False
GSM7777060_CTRL_filtered_peak_bc_matrix,scatac,GSM7777060,human,other,5814,True,True,False
GSM7062447_D2_filtered_peak_bc_matrix,scatac,GSM7062447,mouse,other,5764,True,True,False
GSM7734716_MGH236_filtered_peak_bc_matrix,scatac,GSM7734716,human,other,5754,True,True,False
GSM5769461_Day5_DTR_U_filtered_peak_bc_matrix,scatac,GSM5769461,zebrafish,other,5409,True,True,False
GSM6044077_4LM_human_filtered_peak_bc_matrix,scatac,GSM6044077,human,other,5280,True,True,False
GSM5769453_WT_S_filtered_peak_bc_matrix,scatac,GSM5769453,zebrafish,other,5264,True,True,False
GSM7062446_Naive_filtered_peak_bc_matrix,scatac,GSM7062446,mouse,other,5171,True,True,False
GSM8462147_AL12_ATAC_filtered_peak_bc_matrix,scatac,GSM8462147,human,other,5048,True,True,False
GSE198730_aPSM_scATAC_rep1_filtered_peak_bc_matrix,scatac,GSE198730,mouse,other,5010,True,True,False
GSE198730_naive_ESC_scATAC_rep1_filtered_peak_bc_matrix,scatac,GSE198730,mouse,stem_cell,5000,True,True,False
GSM5766892_d0-ctrl_filtered_peak_bc_matrix,scatac,GSM5766892,human,other,4901,True,True,False
GSM5402771_NF_2-004_filtered_peak_bc_matrix,scatac,GSM5402771,human,other,4745,True,True,False
GSM8517035_scATAC_P28_Dlx_ALM_rep1_filtered_peak_bc_matrix,scatac,GSM8517035,mouse,other,4425,True,True,False
GSM7062449_D8-2_filtered_peak_bc_matrix,scatac,GSM7062449,mouse,other,4379,True,True,False
GSM5769456_DTR_S_filtered_peak_bc_matrix,scatac,GSM5769456,zebrafish,other,4320,True,True,False
GSM8397467_WT2_filtered_peak_bc_matrix,scatac,GSM8397467,mouse,other,4207,True,True,False
GSM8462144_AL08_ATAC_filtered_peak_bc_matrix,scatac,GSM8462144,human,other,4116,True,True,False
GSM7064214_19_D003_filtered_peak_bc_matrix,scatac,GSM7064214,human,other,4112,True,True,False
GSM7777061_2DG_filtered_peak_bc_matrix,scatac,GSM7777061,human,other,4074,True,True,False
GSM5975166_Arm_d200_filtered_peak_bc_matrix,scatac,GSM5975166,mouse,other,4007,True,True,False
GSM5975165_Arm_d60_filtered_peak_bc_matrix,scatac,GSM5975165,mouse,other,3805,True,True,False
GSM6783752_d20-p200_filtered_peak_bc_matrix,scatac,GSM6783752,human,other,3722,True,True,False
GSM7062450_D180_filtered_peak_bc_matrix,scatac,GSM7062450,mouse,other,3693,True,True,False
