filename_key,modality,claimed,actual,reason
GSE181061_new,scrna,human,human,symbol_upper_494v6
GSE186344_new,scrna,human,human,symbol_upper_491v9
GSE197177_new,scrna,human,human,symbol_upper_494v6
GSE213337_new,scrna,human,mouse,riken_41
GSE235063_new,scrna,human,human,symbol_upper_494v6
GSE139555_new,scrna,human,human,symbol_upper_490v7
GSE149655_new,scrna,human,human,symbol_upper_494v6
GSE154778_new,scrna,human,human,symbol_upper_494v6
GSE181388_new,scrna,mouse,human,symbol_upper_494v6
GSE188676_new,scrna,mouse,mouse,riken_40
GSE125449_new,scrna,human,human,symbol_upper_493v7
GSE128033_new,scrna,human,human,symbol_upper_491v9
GSE138794_new,scrna,human,human,symbol_upper_491v9
GSE159519_new,scrna,human,human,symbol_upper_492v8
GSE161277_new,scrna,mouse,human,symbol_upper_494v6
GSE173193_new,scrna,human,human,symbol_upper_494v6
GSE190604_new,scrna,human,human,symbol_upper_494v6
GSE120926_new,scrna,human,human,symbol_upper_478v22
GSE189357_new,scrna,human,human,symbol_upper_494v6
GSE208074_new,scrna,human,human,symbol_upper_492v7
GSE220297_new,scrna,human,human,symbol_upper_496v4
GSE220840_new,scrna,human,human,symbol_upper_494v6
GSE260778_new,scrna,human,human,symbol_upper_491v9
GSE264586_new,scrna,human,human,symbol_upper_494v6
GSE270891_new,scrna,human,human,symbol_upper_494v6
GSE273423_new,scrna,human,human,symbol_upper_494v6
GSE274905_new,scrna,human,human,symbol_upper_494v6
GSE279264_new,scrna,human,human,symbol_upper_494v6
GSE280258_new,scrna,human,human,symbol_upper_494v6
GSE280767_new,scrna,human,human,symbol_upper_494v6
GSE283554_new,scrna,human,human,symbol_upper_494v6
GSE193807_new,scrna,human,human,symbol_upper_494v6
GSE216673_new,scrna,human,human,symbol_upper_494v6
GSE232938_new,scrna,human,human,symbol_upper_494v6
GSE253936_new,scrna,human,human,symbol_upper_494v6
GSE272457_new,scrna,human,mouse,symbol_title_500v0
